uid,age,birthday,country,region,genderSlider,genderLabel,lifeExpectancy,weeksLived,weeksRemaining,weeksTotal,percentLived,phaseTemplate,phaseCount,phases
7QDffAUxid7IPz26A4drtgFjD0vI,43,22.06.1983,India,Asia,0,Male,68,2235,1301,3536,63.2,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
VMPILOQbqV5vliOeT8fGxCjtu6K2,30,28.07.1996,Brazil,South America,0,Male,73,1551,2245,3796,40.9,Family-focused,6,Childhood (0–6); School (6–18); Young Adult (18–30); Family Years (30–55); Empty Nest (55–70); Senior (70–90)
PEBqUhArQEPcyLasnipuaUkxRFZX,22,03.11.2004,Canada,North America,9,Female,84,1120,3248,4368,25.6,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
etAzNrz7k6CQwBgBye1UnWeNGmWv,18,01.07.2008,Bangladesh,Asia,9,Female,75,929,2971,3900,23.8,Simple 3-phase,3,Youth (0–18); Adulthood (18–65); Senior (65–90)
mLVOkVEUVB5INM1MjeBsrdFtCdZe,25,04.04.2001,Uzbekistan,Asia,9,Female,76,1307,2645,3952,33.1,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
7Tc4JlLF7BYZ8fOcR9GLw4yWQdNu,80,15.07.1946,Turkey,Asia,9,Female,81,4162,50,4212,98.8,Family-focused,6,Childhood (0–6); School (6–18); Young Adult (18–30); Family Years (30–55); Empty Nest (55–70); Senior (70–90)
O42uKiv7RyK6txXYPZTQGOAwwln6,65,09.05.1961,Germany,Europe,8,Non-binary / Other,82,3389,875,4264,79.5,Entrepreneur,5,Childhood (0–6); School (6–18); Startup Years (18–30); Growth Phase (30–55); Legacy (55–85)
WFHTGP2MLjlQM3ScwS8LUWoo7W4m,24,03.03.2002,Iran,Asia,0,Male,75,1259,2641,3900,32.3,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
xG7YXipN2Ig00rVq4jB6nBvbdFo9,44,25.08.1982,Pakistan,Asia,9,Female,69,2278,1310,3588,63.5,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
jc4DZVDM4bnj6LAWohoNMdZEHNJS,22,21.12.2004,India,Asia,0,Male,68,1113,2423,3536,31.5,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
Pf8eGF9IyDN8pbWvTMVTucHYkWCR,38,19.04.1988,Ethiopia,Africa,0,Male,66,1983,1449,3432,57.8,Minimalist,2,Growing Up (0–25); Adult Life (25–85)
cmX2ttyYDcOr1cOqXByB7vlQwXqf,20,25.12.2006,Nigeria,Africa,9,Female,57,1008,1956,2964,34.0,Adventurer,5,Childhood (0–6); School (6–18); Exploration (18–25); Settled Career (25–60); Senior (60–90)
gusBSkBBT4MANXdPzFUjb0QBhoOw,68,18.03.1958,India,Asia,0,Male,68,3553,0,3536,100.5,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
xVJGyOphTExIqqB9r4Eh0C3BfQ0t,25,15.11.2001,United States,North America,0,Male,74,1274,2574,3848,33.1,Adventurer,5,Childhood (0–6); School (6–18); Exploration (18–25); Settled Career (25–60); Senior (60–90)
jRRkwn9XoEwJC8i2eySDzzJhteCG,50,29.05.1976,Guatemala,North America,0,Male,72,2603,1141,3744,69.5,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
1ZGsk5n6Grem7rMMfNKKkM3u5c1f,39,14.03.1987,Brazil,South America,9,Female,80,2040,2120,4160,49.0,Simple 3-phase,3,Youth (0–18); Adulthood (18–65); Senior (65–90)
zNEMr7DXQsedBEmLtST18iwItCqp,49,07.11.1977,United States,North America,9,Female,80,2528,1632,4160,60.8,Early retirement,5,Childhood (0–6); Education (6–22); Career (22–45); Early Retirement (45–70); Senior (70–90)
1juJtVEFEtb6F7nvdE2ODH0A2TVw,65,14.10.1961,Belgium,Europe,0,Male,79,3366,742,4108,81.9,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
xBIZMLhfx9IwiLyccSXGj3i5tyM0,28,18.06.1998,India,Asia,9,Female,71,1452,2240,3692,39.3,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
sYwP8KXSQbD7WWJSKkMM0jQb6gbt,48,16.09.1978,Mozambique,Africa,5,Non-binary / Other,60,2483,637,3120,79.6,Entrepreneur,5,Childhood (0–6); School (6–18); Startup Years (18–30); Growth Phase (30–55); Legacy (55–85)
D0TRGI9Dx7CHHP1QXqE7rs68VRQE,68,25.09.1958,Canada,North America,9,Female,84,3525,843,4368,80.7,Academic / PhD,7,Childhood (0–6); School (6–18); Bachelor's (18–21); Master's (21–23); PhD (23–28); Academic Career (28–65); Retirement (65–90)
JH3yvVjc7e5OUnZqIqgTod4noguD,75,09.12.1951,Iran,Asia,8,Non-binary / Other,77,3880,124,4004,96.9,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
2DOUrrdVOoT0c5zZ5cZWlU2rcsL5,51,14.03.1975,Pakistan,Asia,0,Male,67,2666,818,3484,76.5,Academic / PhD,7,Childhood (0–6); School (6–18); Bachelor's (18–21); Master's (21–23); PhD (23–28); Academic Career (28–65); Retirement (65–90)
qYuTOSausPlLNzAuyf8D6axBquKJ,79,28.03.1947,Germany,Europe,3,Non-binary / Other,80,4125,35,4160,99.2,Simple 3-phase,3,Youth (0–18); Adulthood (18–65); Senior (65–90)
tzF3Rth4sMnijULzIDHPnpU2fBRe,31,22.01.1995,DR Congo,Africa,0,Male,59,1630,1438,3068,53.1,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
juGhmKfFYCFCdCYSyYUJcvd95e5b,51,07.09.1975,Mexico,North America,0,Male,73,2641,1155,3796,69.6,Family-focused,6,Childhood (0–6); School (6–18); Young Adult (18–30); Family Years (30–55); Empty Nest (55–70); Senior (70–90)
A9x14xQPHOvlHGTnabsPHGZpvr6S,65,24.11.1961,India,Asia,9,Female,71,3360,332,3692,91.0,Academic / PhD,7,Childhood (0–6); School (6–18); Bachelor's (18–21); Master's (21–23); PhD (23–28); Academic Career (28–65); Retirement (65–90)
3oeKBP2pcBHUWi9o4JJVYo29GzrI,69,25.10.1957,Brazil,South America,9,Female,80,3573,587,4160,85.9,Adventurer,5,Childhood (0–6); School (6–18); Exploration (18–25); Settled Career (25–60); Senior (60–90)
E86PWtzjxUD0sRX4I8IipmO50fSl,27,22.11.1999,Mozambique,Africa,9,Female,63,1378,1898,3276,42.1,Minimalist,2,Growing Up (0–25); Adult Life (25–85)
XKPnm4s4nlTUU4RRyotrCOtw2CXS,54,28.01.1972,Egypt,Africa,9,Female,75,2829,1071,3900,72.5,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
Injq5JzjuxZEOQpY7NEkXkSE4HNd,29,11.06.1997,Russia,Europe,0,Male,66,1506,1926,3432,43.9,Minimalist,2,Growing Up (0–25); Adult Life (25–85)
z0oRaFxMPMDEaIaGr8bYPX4gfjlG,68,02.11.1958,Angola,Africa,9,Female,68,3520,16,3536,99.5,Early retirement,5,Childhood (0–6); Education (6–22); Career (22–45); Early Retirement (45–70); Senior (70–90)
CpRsZe9ObzxDNRf0Nu8834o3QJq5,66,12.02.1960,Spain,Europe,0,Male,80,3453,707,4160,83.0,Adventurer,5,Childhood (0–6); School (6–18); Exploration (18–25); Settled Career (25–60); Senior (60–90)
5t7KUSyekoZy3uUi9SF8dBZvV7yV,50,22.10.1976,Pakistan,Asia,0,Male,67,2582,902,3484,74.1,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
6AQOfMXSfjSNTtgatwqilBIzbvfL,44,08.08.1982,Algeria,Africa,0,Male,77,2280,1724,4004,56.9,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
SI9pGQkqqjkrsWw6SEMCiay0x1BA,53,13.07.1973,Germany,Europe,0,Male,79,2753,1355,4108,67.0,Early retirement,5,Childhood (0–6); Education (6–22); Career (22–45); Early Retirement (45–70); Senior (70–90)
RDlytTN8WurWw5m9lVbT6mXZe0XP,33,11.05.1993,Sri Lanka,Asia,9,Female,79,1719,2389,4108,41.8,Family-focused,6,Childhood (0–6); School (6–18); Young Adult (18–30); Family Years (30–55); Empty Nest (55–70); Senior (70–90)
We9DyF5QHXw3HNfVOwOc8QyU7Aaq,32,05.11.1994,Brazil,South America,0,Male,73,1641,2155,3796,43.2,Entrepreneur,5,Childhood (0–6); School (6–18); Startup Years (18–30); Growth Phase (30–55); Legacy (55–85)
VKFvbgz7h6itCmDDBRtsYh0OPk9p,44,12.08.1982,Italy,Europe,5,Non-binary / Other,83,2279,2037,4316,52.8,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
XNlOyT2BAanrRXJXHwmhPE7tyyhv,51,31.07.1975,China,Asia,0,Male,75,2646,1254,3900,67.8,Simple 3-phase,3,Youth (0–18); Adulthood (18–65); Senior (65–90)
MfihslQFzixlNQO9IEitBdwaiY7F,59,26.12.1967,Indonesia,Asia,0,Male,69,3043,545,3588,84.8,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
kJXncnrWJVEFJqH9HUVBnATOp2bq,42,27.12.1984,Iraq,Asia,9,Female,74,2155,1693,3848,56.0,Simple 3-phase,3,Youth (0–18); Adulthood (18–65); Senior (65–90)
nTQ1LAMWYXJHLk8sJ7F3YiUzdrOR,71,25.02.1955,Turkey,Asia,0,Male,76,3712,240,3952,93.9,Creative / Artist,5,Childhood (0–6); Education (6–20); Emerging (20–35); Established (35–60); Legacy (60–85)
yiNMxeXVyUR2CEK10f8NR0Xy8ZEu,36,25.04.1990,Brazil,South America,0,Male,73,1878,1918,3796,49.5,Military,5,Childhood (0–6); School (6–18); Military Service (18–38); Civilian Career (38–62); Retirement (62–85)
vQdgWCh1Ba7mQiOj5qOpx4kysRoO,24,28.10.2002,Egypt,Africa,6,Non-binary / Other,74,1225,2623,3848,31.8,Simple 3-phase,3,Youth (0–18); Adulthood (18–65); Senior (65–90)
GBavh1RDofXgwsxY2NPeILkvnU5M,46,05.02.1980,Pakistan,Asia,0,Male,67,2411,1073,3484,69.2,Family-focused,6,Childhood (0–6); School (6–18); Young Adult (18–30); Family Years (30–55); Empty Nest (55–70); Senior (70–90)
TvAXpNpLSr6b02mLlyOWXoxoNe3a,22,25.03.2004,Indonesia,Asia,0,Male,69,1151,2437,3588,32.1,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
QV7VbeqcdWFMFzRfHMrtFmYHyNZQ,40,14.10.1986,India,Asia,0,Male,68,2062,1474,3536,58.3,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
5hLdPOkaiaEvGYqxU2Th3uAGq8ME,62,02.04.1964,Bangladesh,Asia,9,Female,75,3237,663,3900,83.0,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
gJSoFc1pDxj51I4TAtzSqexF3lX8,37,06.06.1989,Italy,Europe,0,Male,81,1924,2288,4212,45.7,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
uIamIsMCKEVm3Vpazov026aO0TgG,45,25.05.1981,United States,North America,0,Male,74,2343,1505,3848,60.9,Military,5,Childhood (0–6); School (6–18); Military Service (18–38); Civilian Career (38–62); Retirement (62–85)
co0z3CUKFNyKdPis05yZuCo6iVgg,19,23.03.2007,Colombia,South America,4,Non-binary / Other,76,995,2957,3952,25.2,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
mtqhjQZRcZufpwFPq9bzCUpCXiaZ,23,12.09.2003,Indonesia,Asia,0,Male,69,1179,2409,3588,32.9,Adventurer,5,Childhood (0–6); School (6–18); Exploration (18–25); Settled Career (25–60); Senior (60–90)
6fK4e9mOYf0Yh6d5ASExAv4rBjMM,68,12.07.1958,Vietnam,Asia,0,Male,71,3536,156,3692,95.8,Entrepreneur,5,Childhood (0–6); School (6–18); Startup Years (18–30); Growth Phase (30–55); Legacy (55–85)
xzNXp9HbxSDWvJtqbLbYrYDwKojp,51,02.08.1975,Nigeria,Africa,4,Non-binary / Other,55,2646,214,2860,92.5,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
Xv00kKXR4bR6IIl92EtEfonGa4mi,23,19.04.2003,Czech Republic,Europe,6,Non-binary / Other,80,1200,2960,4160,28.8,Military,5,Childhood (0–6); School (6–18); Military Service (18–38); Civilian Career (38–62); Retirement (62–85)
K4W017x6ygsij6X7Ok8R5WnKktQh,70,02.06.1956,Philippines,Asia,9,Female,75,3646,254,3900,93.5,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
7cL57nJ6iUo8k2fRN2BqpepgaxT8,52,28.07.1974,Philippines,Asia,9,Female,75,2699,1201,3900,69.2,Adventurer,5,Childhood (0–6); School (6–18); Exploration (18–25); Settled Career (25–60); Senior (60–90)
ZWJVnBXcbqgv3je68u93RAOLAdu8,40,18.06.1986,Uganda,Africa,4,Non-binary / Other,64,2079,1249,3328,62.5,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
sfyIEdafZMDgmN8DhWD3qNyxxlcB,62,09.09.1964,India,Asia,7,Non-binary / Other,70,3215,425,3640,88.3,Entrepreneur,5,Childhood (0–6); School (6–18); Startup Years (18–30); Growth Phase (30–55); Legacy (55–85)
fPYzUodyG7Q6Josy0cJGJ8j6B6kn,23,25.03.2003,Ecuador,South America,9,Female,79,1204,2904,4108,29.3,Entrepreneur,5,Childhood (0–6); School (6–18); Startup Years (18–30); Growth Phase (30–55); Legacy (55–85)
YjKtTYfII1G4aRKWgjJK7ggWW122,21,14.11.2005,China,Asia,0,Male,75,1066,2834,3900,27.3,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
iLRc3uoU53bYsrERg1i8BZqzOlnZ,76,06.01.1950,Ecuador,South America,9,Female,79,3980,128,4108,96.9,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
eRzWGJk2mdcdwmwCy5QpEB7DIvZq,63,17.01.1963,Poland,Europe,9,Female,81,3300,912,4212,78.3,Creative / Artist,5,Childhood (0–6); Education (6–20); Emerging (20–35); Established (35–60); Legacy (60–85)
J71OQqzbWVa4OLapXs7NAxvpCPZy,17,02.07.2009,Sudan,Africa,0,Male,65,876,2504,3380,25.9,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
Lsgd9N1qS3sjV3XXLOQSO9qzycRJ,58,18.06.1968,Bolivia,South America,5,Non-binary / Other,73,3018,778,3796,79.5,Academic / PhD,7,Childhood (0–6); School (6–18); Bachelor's (18–21); Master's (21–23); PhD (23–28); Academic Career (28–65); Retirement (65–90)
D6wskOIsDTSI463Onn2A2xKChdNJ,44,18.11.1982,China,Asia,9,Female,80,2265,1895,4160,54.4,Academic / PhD,7,Childhood (0–6); School (6–18); Bachelor's (18–21); Master's (21–23); PhD (23–28); Academic Career (28–65); Retirement (65–90)
xsd0imzJ4CtSWENkNaqVkVEVfMNz,28,04.09.1998,Nigeria,Africa,4,Non-binary / Other,55,1441,1419,2860,50.4,Healthcare,6,Childhood (0–6); School (6–18); University (18–24); Residency (24–30); Career (30–65); Retirement (65–90)
63UGbaTo2tgFsec6CGGAQi9EUk4Y,18,07.09.2008,Venezuela,South America,0,Male,70,919,2721,3640,25.2,Early retirement,5,Childhood (0–6); Education (6–22); Career (22–45); Early Retirement (45–70); Senior (70–90)
FhSXxNVMKcgZchBhpRmQaAgGMRz3,24,24.04.2002,Afghanistan,Asia,0,Male,63,1252,2024,3276,38.2,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
mmqGmRscEm5uaP4ZPjfFSgpo9sCg,52,26.02.1974,Italy,Europe,9,Female,85,2721,1699,4420,61.6,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
Ah03aiOu37qTxvhyCZQDA2kiT80g,34,26.06.1992,China,Asia,0,Male,75,1764,2136,3900,45.2,Entrepreneur,5,Childhood (0–6); School (6–18); Startup Years (18–30); Growth Phase (30–55); Legacy (55–85)
xwbQZ8i5hzcqtRQVJJ8PuGRfPpvP,52,15.11.1974,United States,North America,4,Non-binary / Other,76,2683,1269,3952,67.9,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
5FDEkUturFIxYeBJfEt8UbzcIZX7,51,02.10.1975,India,Asia,9,Female,71,2637,1055,3692,71.4,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
6wdnCIMDOShVnvZ7sGRckiSSgLl5,51,21.04.1975,Nigeria,Africa,9,Female,57,2661,303,2964,89.8,Entrepreneur,5,Childhood (0–6); School (6–18); Startup Years (18–30); Growth Phase (30–55); Legacy (55–85)
UcNPh3CKF7aTIAK5W4QkYgOLt2zL,66,23.04.1960,India,Asia,3,Non-binary / Other,69,3443,145,3588,96.0,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
izRUsR1S6NmMsvP8O7FRthvDJPzU,41,10.06.1985,Pakistan,Asia,0,Male,67,2132,1352,3484,61.2,Simple 3-phase,3,Youth (0–18); Adulthood (18–65); Senior (65–90)
xddqW8QjdWmHwCMPInOyFXRQcxzW,43,17.01.1983,Tanzania,Africa,0,Male,65,2257,1123,3380,66.8,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
MW1Z4ROUHLW7slQlkFxAIiKpuSjj,19,24.01.2007,Pakistan,Asia,9,Female,69,1004,2584,3588,28.0,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
wWtnleFzHfnnuwnUG9Z8aPB4MM7Q,54,26.08.1972,France,Europe,0,Male,79,2799,1309,4108,68.1,Family-focused,6,Childhood (0–6); School (6–18); Young Adult (18–30); Family Years (30–55); Empty Nest (55–70); Senior (70–90)
r4YxXBc3lF6k7HaePV1AgHR8WO6U,30,09.07.1996,France,Europe,9,Female,85,1554,2866,4420,35.2,Family-focused,6,Childhood (0–6); School (6–18); Young Adult (18–30); Family Years (30–55); Empty Nest (55–70); Senior (70–90)
lpeY4zBztyhaSdUc0wFrQLr5xYbj,58,03.01.1968,Canada,North America,3,Non-binary / Other,81,3042,1170,4212,72.2,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
271O7a2icJyHfnTTn40ilMphPJdU,53,05.11.1973,China,Asia,9,Female,80,2737,1423,4160,65.8,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
egSEuhOgM3tBMsKJwtAapnTB0iT2,57,03.09.1969,Yemen,Asia,7,Non-binary / Other,67,2955,529,3484,84.8,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
OfrZ3mTMT30NYJVncq3HOjy3K1iF,35,18.08.1991,Indonesia,Asia,0,Male,69,1809,1779,3588,50.4,App defaults,5,Childhood (0–6); School (6–18); University (18–23); Career (23–65); Senior (65–90)
YMkFBl6O7TDwnEdwcm4wDCc8uRGZ,16,08.11.2010,Bangladesh,Asia,0,Male,72,806,2938,3744,21.5,Military,5,Childhood (0–6); School (6–18); Military Service (18–38); Civilian Career (38–62); Retirement (62–85)
K3ep8nzYvX3a2BoFrjjLYOzuhPDK,38,21.07.1988,Sweden,Europe,0,Male,81,1969,2243,4212,46.7,No university,4,Childhood (0–6); School (6–18); Career (18–65); Senior (65–90)
jNcJdql7LIbSPrfB91kZLXYlOqSv,31,05.01.1995,Nigeria,Africa,0,Male,55,1632,1228,2860,57.1,Family-focused,6,Childhood (0–6); School (6–18); Young Adult (18–30); Family Years (30–55); Empty Nest (55–70); Senior (70–90)
